repo,language,created,updated,stars,size_kb,visibility,description
prompt-optimizer,TypeScript,2025-09-25,2025-11-25,0,1974,private,
web,Astro,2025-09-25,2026-02-26,1,53292,private,puente ops website
tarot-content-creator,JavaScript,2025-09-25,2025-11-19,1,324,private,
Pottery-App,TypeScript,2025-09-26,2025-11-25,0,436,private,
DECLuTTER-AI,Dart,2025-09-27,2025-11-19,1,137,private,
noise.sh,Go,2025-10-19,2026-01-23,1,159769,private,
focus.sh,Go,2025-10-20,2025-11-19,1,219869,private,
lean-study-buddy-extension,TypeScript,2025-10-23,2025-11-25,1,828,private,
Farm-to-Stars,TypeScript,2025-11-07,2026-02-21,0,15903,private,
CyberWitches,JavaScript,2025-11-07,2025-11-24,1,127566,private,
VoxForge,TypeScript,2025-11-10,2025-11-19,0,850,private,
Prism.sh,Go,2025-11-11,2025-11-19,1,4265,private,
Syntax.sh,Go,2025-11-11,2025-11-19,1,14493,private,
MutualAidApp,JavaScript,2025-11-12,2025-11-12,0,657,private,
FlowCLI,Python,2025-11-14,2025-11-19,1,2317,private,
EvoLab,TypeScript,2025-11-15,2025-11-19,1,739,private,
Generative-Score-Lab,TypeScript,2025-11-17,2025-11-19,1,779,private,
Generative-Assets-Lab,TypeScript,2025-11-17,2025-11-19,1,494,private,
GameStory-Lab,TypeScript,2025-11-17,2025-11-21,1,1185,private,
ShipLab,TypeScript,2025-11-18,2025-11-19,1,496,private,
voice-to-scultpure-app,HTML,2025-11-21,2026-02-22,1,9953,private,
cursor-code-analyzer,TypeScript,2025-11-25,2026-01-26,0,223,private,
3d-Designer,TypeScript,2025-11-26,2025-12-14,0,91049,private,
Print-OS,TypeScript,2025-12-26,2026-01-06,0,6470,private,
apex-vault,Python,2026-01-24,2026-01-27,1,1623,private,Apex System Vault
LifeOS,TypeScript,2026-01-24,2026-01-24,0,232260,private,
liam-private,Makefile,2026-02-01,2026-02-01,1,187754,private,Private backup: APEX rules + Liam identity + custom content
lyrics-engine,Python,2026-02-05,2026-02-05,0,15,private,Standalone lyrics writing tool with rhyme engine; syllable counter; AI generation; and song structur
cerafica-site,HTML,2026-02-12,2026-02-12,0,561508,public,Cerafica ceramics portfolio site
neurodivergent-directory,none,2026-02-23,2026-02-23,0,5,private,Niche directory for late-diagnosed neurodivergent BIPOC adults
Interpreted-Context-Methdology,Python,2026-03-14,2026-03-14,0,360688,public,Folder structure as agent architecture.  ICM replaces framework-level orchestration with filesystem 
research-pipeline-prod,Python,2026-03-15,2026-03-15,0,259,private,Personal research pipeline workspace with human-door integration
GlazeLab,Python,2026-03-15,2026-03-29,0,436,private,
creative-portfolio,CSS,2026-03-16,2026-03-21,0,28,private,Simon Gonzalez de Cruz - Creative Technologist Portfolio
openglaze,Python,2026-03-16,2026-03-29,0,58,private,Open-source ceramic glaze management SaaS
reverse-engineering,TypeScript,2026-03-16,2026-04-01,0,22368,private,Universal reverse engineering methodology and tools
atelier,TypeScript,2026-03-19,2026-03-20,0,1040,private,
hydra-creative-agent,Python,2026-03-19,2026-03-20,0,643,private,
liminal,TypeScript,2026-03-20,2026-04-01,1,10963,private,
mcp-video,Python,2026-03-21,2026-04-01,3,8971,public,Video editing MCP server for AI agents. 82 tools; 690+ tests; 3 interfaces. Works with Claude Code; 
awesome-mcp-servers,none,2026-03-21,2026-03-21,0,7071,public,A collection of MCP servers.
DialectOS,TypeScript,2026-03-22,2026-04-01,1,307,public,DialectOS provides 16 MCP tools that understand Spanish dialect differences — translating; detecting
CEO_Agents,TypeScript,2026-03-24,2026-03-29,0,301,private,
Pastorsimon1798,none,2026-03-26,2026-03-29,0,1,private,GitHub profile
puenteworks-site,HTML,2026-03-26,2026-03-29,0,147,public,PuenteWorks — AI Systems for Small Business
AIJobs,none,2026-03-26,2026-03-26,0,38,private,
site-to-stitch,none,2026-03-27,2026-03-29,1,49,public,Reverse-engineer existing websites into Google Stitch MCP for design iteration
cerafica,Python,2026-03-28,2026-03-31,0,146048,public,
Creator-kit,none,2026-03-28,2026-03-29,1,1,private,
research-scout,TypeScript,2026-04-01,2026-04-01,0,55,private,Opportunity scout: GitHub; Product Hunt; Hacker News → scoring → briefs → Paperclip API tickets
